year,DPTO,NOMBRE_DPT,Conteo_Nacimientos
2016,5,ANTIOQUIA,74370
2016,8,ATLANTICO,41972
2016,11,SANTAFE DE BOGOTA D.C,114013
2016,13,BOLIVAR,32369
2016,15,BOYACA,15465
2016,17,CALDAS,9681
2016,18,CAQUETA,6932
2016,19,CAUCA,15712
2016,20,CESAR,20540
2016,23,CORDOBA,26385
2016,25,CUNDINAMARCA,21589
2016,27,CHOCO,5051
2016,41,HUILA,20087
2016,44,LA GUAJIRA,15925
2016,47,MAGDALENA,22202
2016,50,META,15473
2016,52,NARIÑO,18172
2016,54,NORTE DE SANTANDER,20409
2016,63,QUINDIO,6120
2016,66,RISARALDA,11331
2016,68,SANTANDER,30573
2016,70,SUCRE,15324
2016,73,TOLIMA,16155
2016,76,VALLE DEL CAUCA,52272
2016,81,ARAUCA,4410
2016,85,CASANARE,5972
2016,86,PUTUMAYO,3825
2016,88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,848
2016,91,AMAZONAS,1340
2016,94,GUAINIA,660
2016,95,GUAVIARE,1178
2016,97,VAUPES,509
2016,99,VICHADA,657
2017,5,ANTIOQUIA,76684
2017,8,ATLANTICO,43453
2017,11,SANTAFE DE BOGOTA D.C,108969
2017,13,BOLIVAR,34906
2017,15,BOYACA,14921
2017,17,CALDAS,9298
2017,18,CAQUETA,7223
2017,19,CAUCA,15991
2017,20,CESAR,20118
2017,23,CORDOBA,27000
2017,25,CUNDINAMARCA,20462
2017,27,CHOCO,5304
2017,41,HUILA,20355
2017,44,LA GUAJIRA,17583
2017,47,MAGDALENA,24162
2017,50,META,15860
2017,52,NARIÑO,18528
2017,54,NORTE DE SANTANDER,21114
2017,63,QUINDIO,6163
2017,66,RISARALDA,11037
2017,68,SANTANDER,30776
2017,70,SUCRE,16542
2017,73,TOLIMA,16391
2017,76,VALLE DEL CAUCA,53322
2017,81,ARAUCA,4647
2017,85,CASANARE,6042
2017,86,PUTUMAYO,4195
2017,88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,804
2017,91,AMAZONAS,1433
2017,94,GUAINIA,834
2017,95,GUAVIARE,1279
2017,97,VAUPES,576
2017,99,VICHADA,732
2018,5,ANTIOQUIA,74504
2018,8,ATLANTICO,43800
2018,11,SANTAFE DE BOGOTA D.C,103565
2018,13,BOLIVAR,34179
2018,15,BOYACA,13778
2018,17,CALDAS,8758
2018,18,CAQUETA,7034
2018,19,CAUCA,15143
2018,20,CESAR,22577
2018,23,CORDOBA,26524
2018,25,CUNDINAMARCA,20466
2018,27,CHOCO,6663
2018,41,HUILA,19268
2018,44,LA GUAJIRA,21029
2018,47,MAGDALENA,23938
2018,50,META,15421
2018,52,NARIÑO,18224
2018,54,NORTE DE SANTANDER,23431
2018,63,QUINDIO,5887
2018,66,RISARALDA,10637
2018,68,SANTANDER,29562
2018,70,SUCRE,16569
2018,73,TOLIMA,15871
2018,76,VALLE DEL CAUCA,50848
2018,81,ARAUCA,5196
2018,85,CASANARE,5976
2018,86,PUTUMAYO,4029
2018,88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,750
2018,91,AMAZONAS,1382
2018,94,GUAINIA,1018
2018,95,GUAVIARE,1293
2018,97,VAUPES,667
2018,99,VICHADA,1128
